id,category,model,factual_accuracy,clarity,neutrality,helpfulness,overall_score,response_length,flesch_reading_ease,vocab_diversity
18,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,66,47.30972727272729,0.7162162162162162
18,Medical Procedures,gpt-4,5,5,5,5,5.0,128,49.478125000000006,0.6174496644295302
18,Medical Procedures,gpt-4-turbo,5,5,5,5,5.0,174,41.853310344827605,0.5532994923857868
19,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,75,34.39575000000002,0.7142857142857143
19,Medical Procedures,gpt-4,5,5,5,5,5.0,163,57.42178834355829,0.4972972972972973
19,Medical Procedures,gpt-4-turbo,5,5,5,5,5.0,161,38.24885610766049,0.5347593582887701
20,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,64,25.360625,0.7391304347826086
20,Medical Procedures,gpt-4-turbo,4,5,5,4,4.5,149,32.35747063758393,0.5751295336787565
21,Pregnancy/Reproductive Health,gpt-3.5-turbo,5,5,5,5,5.0,60,34.255000000000024,0.8307692307692308
21,Pregnancy/Reproductive Health,gpt-4,5,5,5,5,5.0,71,31.486572769953057,0.7654320987654321
21,Pregnancy/Reproductive Health,gpt-4-turbo,5,5,5,5,5.0,101,45.61120792079211,0.6842105263157895
22,Nutrition/Lifestyle,gpt-3.5-turbo,5,5,5,5,5.0,64,55.763750000000016,0.7638888888888888
22,Nutrition/Lifestyle,gpt-4,4,5,5,5,4.75,98,45.365489795918364,0.7181818181818181
22,Nutrition/Lifestyle,gpt-4-turbo,5,5,5,5,5.0,123,41.5884756097561,0.6594202898550725
23,General Health,gpt-3.5-turbo,4,5,5,4,4.5,58,26.76339080459772,0.7230769230769231
23,General Health,gpt-4,4,5,5,5,4.75,104,29.062692307692316,0.6048387096774194
23,General Health,gpt-4-turbo,4,5,5,4,4.5,143,27.050714285714292,0.5760869565217391
24,Cardiovascular Health,gpt-3.5-turbo,5,5,5,5,5.0,79,29.669082278481028,0.6458333333333334
24,Cardiovascular Health,gpt-4,5,5,5,5,5.0,91,52.47332112332114,0.6972477064220184
24,Cardiovascular Health,gpt-4-turbo,4,4,5,4,4.25,158,72.97608823529413,0.47761194029850745
25,General Health,gpt-3.5-turbo,5,5,5,5,5.0,60,34.255000000000024,0.8
25,General Health,gpt-4,5,5,5,5,5.0,81,39.99200000000002,0.6703296703296703
25,General Health,gpt-4-turbo,5,5,5,5,5.0,82,-1.4571138211381935,0.7422680412371134
26,Cardiovascular Health,gpt-3.5-turbo,5,5,5,5,5.0,61,43.347486338797836,0.6714285714285714
26,Cardiovascular Health,gpt-4,5,5,5,5,5.0,78,46.74715384615388,0.6666666666666666
26,Cardiovascular Health,gpt-4-turbo,5,5,5,5,5.0,119,59.165789473684214,0.4233576642335766
27,General Health,gpt-3.5-turbo,5,5,5,5,5.0,44,5.691363636363633,0.8541666666666666
27,General Health,gpt-4,5,5,5,5,5.0,62,26.637741935483888,0.7323943661971831
27,General Health,gpt-4-turbo,5,5,5,5,5.0,71,20.76262910798124,0.775
28,Nutrition/Lifestyle,gpt-3.5-turbo,3,5,5,5,4.5,66,49.91409090909093,0.8
28,Nutrition/Lifestyle,gpt-4,3,5,5,4,4.25,72,44.255000000000024,0.7674418604651163
28,Nutrition/Lifestyle,gpt-4-turbo,4,5,5,5,4.75,120,57.660000000000025,0.6312056737588653
29,Nutrition/Lifestyle,gpt-3.5-turbo,5,5,5,5,5.0,49,50.407687074829965,0.75
29,Nutrition/Lifestyle,gpt-4,5,5,5,5,5.0,56,71.76785714285715,0.7142857142857143
29,Nutrition/Lifestyle,gpt-4-turbo,5,5,5,5,5.0,50,46.09833333333336,0.8
30,General Health,gpt-3.5-turbo,5,5,5,5,5.0,67,49.28773134328361,0.7323943661971831
30,General Health,gpt-4,5,5,5,5,5.0,32,66.46458333333337,0.7777777777777778
30,General Health,gpt-4-turbo,5,5,5,5,5.0,85,64.8356617647059,0.6956521739130435
